UCREA,,,,,
Nhóm tiêu chí,,Điểm,,,
Kiến thức,Kiến thức bài cũ,1 - Cần ôn tập lại: Học sinh Quên kiến thức buổi trước; chưa làm bài tập về nhà; gặp khó khăn ngay cả khi cô đã đưa ra gợi ý trực quan.,2 - Ghi nhớ cơ bản: Học sinh nhớ được khái niệm/hình ảnh bài cũ nhưng thao tác còn chậm; cần cô đặt câu hỏi dẫn dắt mới nhớ ra quy luật/cách giải; bài tập về nhà làm chưa hoàn chỉnh.,3 - Thành thạo: Học sinh nhớ và làm đúng kiến thức bài cũ; biết cách giải nhưng cần cô gợi ý nhẹ nếu muốn giải thích chi tiết; làm bài tập về nhà đầy đủ.,4 - Xuất sắc: Học sinh làm đúng/hoàn thành trọn vẹn bài tập; tự tin lên bảng hoặc giải thích cho cô/bạn hiểu tại sao chọn cách giải đó; ứng dụng linh hoạt vào dạng bài biến tấu.
,Kiến thức bài mới,1 - Cần rèn luyện: Học sinh gặp khó khăn trong việc tiếp thu khái niệm mới; chưa tự làm được bài tập thực hành nếu không có giáo viên cầm tay chỉ việc hoặc hướng dẫn trực tiếp từng bước.,2 - Hiểu và thao tác: Học sinh hiểu được kiến thức cơ bản khi cô giảng; giải được bài tập mẫu nhưng cần 1–2 lời gợi ý/dẫn dắt của giáo viên khi gặp bài biến tấu nhẹ; thao tác còn hơi chậm.,3 - Làm chủ bài mới: Học sinh hiểu rõ bản chất khái niệm mới; tự lực hoàn thành tốt các bài tập thực hành chuẩn mà không cần sự trợ giúp của giáo viên; thao tác giáo cụ/sơ đồ chuẩn xác.,4 - Sáng tạo mở rộng: Học sinh nắm bắt khái niệm mới cực nhanh; tự giải được các bài toán biến tấu/nâng cao; biết vận dụng kiến thức mới để tìm ra nhiều hơn 1 cách giải hoặc tự đặt ra bài toán tương tự.
Kỹ năng,Tập trung - quan sát ,"1-Cần rèn luyện: Học sinh khó duy trì sự tập trung; quan sát còn qua loa, thường cần giáo viên nhắc nhở hoặc hướng dẫn.","2-Hiểu và làm theo mẫu: Có thể tập trung trong thời gian ngắn, quan sát được những thông tin chính khi có nhắc nhở.","3- Chủ động hợp tác:Duy trì sự tập trung tốt, quan sát kỹ và nhận biết được các chi tiết cần thiết để hoàn thành nhiệm vụ.","4 - Xuất sắc:Có khả năng tập trung và quan sát nhanh, phát hiện được cả những chi tiết nhỏ hoặc điểm khác biệt chưa được gợi ý."
,Logic - phân tích,"1-Cần rèn luyện:Khó xác định mối liên hệ giữa các sự vật, dữ kiện; cần nhiều hướng dẫn để tìm cách giải quyết.",2-Cần gợi ý:Nhận biết được mối liên hệ và quy luật đơn giản khi có gợi ý; thực hiện được các bước giải quyết quen thuộc.,"3- Thông hiểu: Biết phân tích thông tin, tìm quy luật, mối quan hệ và đưa ra cách giải quyết phù hợp với yêu cầu bài toán.","4- Tư duy tốt:Có khả năng suy luận linh hoạt, phát hiện quy luật mới, biết so sánh và đưa ra nhiều hướng giải quyết."
,Chủ động - vận dụng,"1- Cần hỗ trợ: Thường chờ giáo viên hướng dẫn, chưa chủ động tham gia hoặc đưa ra cách làm của mình.",2- biết thực hiện:Có thể tự thực hiện nhiệm vụ quen thuộc sau khi được hướng dẫn; bước đầu biết áp dụng kiến thức đã học.,"3- Tự chủ:Chủ động thực hiện nhiệm vụ, biết lựa chọn và vận dụng kiến thức phù hợp vào tình huống mới.","4- linh hoạt:Chủ động tìm tòi, biết kết hợp nhiều kiến thức và linh hoạt vận dụng vào các tình huống biến đổi."
,Kiên trì - sáng tạo,1- Cần cố gắng: Dễ nản hoặc bỏ cuộc khi gặp nhiệm vụ khó; còn phụ thuộc nhiều vào sự hỗ trợ của giáo viên.,2-Có cố gắng: Có cố gắng hoàn thành nhiệm vụ nhưng dễ bỏ cuộc khi gặp khó khăn; bước đầu đưa ra cách làm riêng.,"3- Kiên trì thực hiện: Kiên trì thử nghiệm để hoàn thành nhiệm vụ, mạnh dạn đưa ra ý tưởng và cách làm của bản thân.","4-Chủ động sáng tạo:Sẵn sàng thử nhiều cách khác nhau, biết điều chỉnh khi chưa thành công và tạo ra những cách làm/ý tưởng mới."
Nhận xét tổng quan,Điểm mạnh,,,,
,Điểm yếu,,,,
,Đề xuất từ giáo viên,,,,
BLACK HOLE,,,,,
Thái độ,Thái độ đi học,"1 - Học sinh đến muộn thường xuyên không báo trước, nghỉ học quá số buổi quy định","2 - Học sinh thi thoảng đến muộn, nghỉ học có xin phép","3 - Học sinh đến đúng giờ, nghỉ học có phép theo quy định ",4 - Học sinh đi học đúng giờ và đầy đủ
,Thái độ trong giờ học,"1- Cần đồng hành sát sao: Học sinh còn ngần ngại, từ chối tham gia các hoạt động nhóm. Cần cô giáo nhắc nhở và khích lệ nhiều nhiều trong các hoạt động của lớp",2 - Đang hoà nhập: học sinh tham gia hoạt động nhóm nhưng còn thụ động; đôi lúc còn muốn làm theo ý mình hoặc giữ giáo cụ riêng; cần cô nhắc nhở để phối hợp với bạn.,3 - Hợp tác tốt: Học sinh vui vẻ tham gia vào nhóm được phân công; tôn trọng lượt nói của bạn; sẵn sàng chia sẻ đồ dùng học tập; cùng nhóm hoàn thành nhiệm vụ mà không tranh cãi.,4 - Thủ lĩnh đồng đội: Chủ động lắng nghe ý kiến của bạn; biết phân công công việc khi làm bài nhóm; kiên nhẫn giải thích cho bạn chưa hiểu; chủ động chia sẻ giáo cụ và khen ngợi bạn.
Kiến thức,Kiến thức bài cũ,1 - Cần ôn tập lại: Học sinh Quên kiến thức buổi trước; chưa làm bài tập về nhà; gặp khó khăn ngay cả khi cô đã đưa ra gợi ý trực quan.,2 - Ghi nhớ cơ bản: Học sinh nhớ được khái niệm/hình ảnh bài cũ nhưng thao tác còn chậm; cần cô đặt câu hỏi dẫn dắt mới nhớ ra quy luật/cách giải; bài tập về nhà làm chưa hoàn chỉnh.,3 - Thành thạo: Học sinh nhớ và làm đúng kiến thức bài cũ; biết cách giải nhưng cần cô gợi ý nhẹ nếu muốn giải thích chi tiết; làm bài tập về nhà đầy đủ.,4 - Xuất sắc: Học sinh làm đúng/hoàn thành trọn vẹn bài tập; tự tin lên bảng hoặc giải thích cho cô/bạn hiểu tại sao chọn cách giải đó; ứng dụng linh hoạt vào dạng bài biến tấu.
,Kiến thức bài mới,1 - Cần rèn luyện: Học sinh gặp khó khăn trong việc tiếp thu khái niệm mới; chưa tự làm được bài tập thực hành nếu không có giáo viên cầm tay chỉ việc hoặc hướng dẫn trực tiếp từng bước.,2 - Hiểu và thao tác: Học sinh hiểu được kiến thức cơ bản khi cô giảng; giải được bài tập mẫu nhưng cần 1–2 lời gợi ý/dẫn dắt của giáo viên khi gặp bài biến tấu nhẹ; thao tác còn hơi chậm.,3 - Làm chủ bài mới: Học sinh hiểu rõ bản chất khái niệm mới; tự lực hoàn thành tốt các bài tập thực hành chuẩn mà không cần sự trợ giúp của giáo viên; thao tác giáo cụ/sơ đồ chuẩn xác.,4 - Sáng tạo mở rộng: Học sinh nắm bắt khái niệm mới cực nhanh; tự giải được các bài toán biến tấu/nâng cao; biết vận dụng kiến thức mới để tìm ra nhiều hơn 1 cách giải hoặc tự đặt ra bài toán tương tự.
Kỹ năng,Logic - phân tích,"1- Cần rèn luyện: học sinh còn gặp khó khăn khi nhận biết đặc điểm, mối quan hệ giữa các đối tượng; cần cô hướng dẫn từng bước.","2-Nhận biết: Học sinh nhận biết được đặc điểm, mối quan hệ hoặc quy luật đơn giản khi có gợi ý.","3-Biết suy luận:Học sinh biết quan sát, so sánh và tìm ra mối quan hệ hoặc quy luật phù hợp; có thể tự đưa ra cách giải quyết đối với nhiệm vụ vừa sức.","4- suy luận linh hoạt:Học sinh có khả năng suy luận nhanh, biết kết hợp nhiều thông tin để tìm ra cách giải quyết; có thể phát hiện quy luật mới hoặc đưa ra nhiều cách xử lý khác nhau; có thể đưa ra được cách nào tối ưu."
,Chủ động - vận dụng,"1-Cần hỗ trợ: Học sinh còn thụ động trong hoạt động, thường chờ cô hướng dẫn và cần hỗ trợ để bắt đầu hoặc hoàn thành nhiệm vụ; chưa biết vận dụng kiến thức đã học.",2- Biết thực hiện: Học sinh có thể thực hiện nhiệm vụ quen thuộc khi được cô hướng dẫn hoặc gợi ý; bước đầu biết áp dụng kiến thức vào những tình huống tương tự.,"3-Tự thực hiện: Học sinh chủ động tham gia hoạt động, tự hoàn thành nhiệm vụ và biết lựa chọn kiến thức hoặc cách làm phù hợp với yêu cầu.","4-vận dụng linh hoạt: Học sinh chủ động tìm tòi cách giải quyết, biết vận dụng kiến thức vào những tình huống mới hoặc có thay đổi; có thể tự điều chỉnh cách làm khi cần."
,Kiên trì - sáng tạo,1- Cần khuyến khích:Học sinh dễ mất hứng thú hoặc bỏ dở khi gặp nhiệm vụ khó; thường chờ cô hỗ trợ thay vì tự thử lại hoặc tìm cách khác.,2-Có cố gắng: Học sinh có cố gắng hoàn thành nhiệm vụ khi được động viên; có thể thử lại khi chưa thành công nhưng đôi lúc vẫn dễ nản.,"3-Kiên trì thực hiện: Học sinh cố gắng theo đuổi nhiệm vụ đến khi hoàn thành, biết thử lại hoặc thay đổi cách làm khi gặp khó khăn; bước đầu thể hiện ý tưởng riêng.","4- Chủ động sáng tạo: Học sinh kiên trì thử nghiệm nhiều cách khác nhau, mạnh dạn đưa ra ý tưởng mới và biết phát triển cách làm theo ý tưởng của mình."
,Tư duy chiến thuật,"1- Cần hướng dẫn:Học sinh thường hành động theo cảm tính, chưa xác định được nên làm gì trước hoặc lựa chọn cách chơi nào; cần cô hướng dẫn trực tiếp.","2-Biết thử nghiệm:Học sinh có thể thực hiện theo một cách chơi hoặc chiến thuật đơn giản khi được cô hướng dẫn, làm mẫu hoặc nhắc lại.",3-Có chiến thuật: Học sinh biết cân nhắc và lựa chọn cách thực hiện phù hợp để đạt mục tiêu của trò chơi; bước đầu biết thay đổi cách làm khi chưa đạt kết quả.,"4-Tối ưu chiến thuật: Học sinh biết dự đoán kết quả đơn giản trước khi hành động, có khả năng lựa chọn cách chơi phù hợp và điều chỉnh chiến thuật dựa trên tình huống thực tế."
,Thuyết trình - phản biện,"1- Ngại chia sẻ:Học sinh còn e dè khi thể hiện suy nghĩ, ít chủ động trả lời hoặc chia sẻ; câu trả lời thường ngắn và cần cô đặt câu hỏi gợi mở.","2-Biết trả lời: Học sinh trả lời được các câu hỏi quen thuộc và có thể nói về cách làm, kết quả của mình khi được cô gợi ý; bước đầu biết đưa ra lựa chọn cá nhân.","3-Chủ động trình bày:Học sinh chủ động chia sẻ ý kiến, trình bày được cách làm hoặc suy nghĩ của mình bằng câu nói tương đối rõ ràng; biết lắng nghe và phản hồi khi được hỏi.","4-Tự tin trình bày: Học sinh mạnh dạn trình bày ý kiến, biết giải thích lý do cho lựa chọn của mình; có thể đưa ra nhận xét, đồng tình hoặc không đồng tình với ý kiến khác và nêu lý do đơn giản."
Nhận xét tổng quan,Điểm mạnh,,,,
,Điểm yếu,,,,
,Đề xuất từ giáo viên,,,,
